accelerometer,gyroscope,overall_angle,time
"{'x': 1.9991583862304687, 'y': -9.622296472167967, 'z': -2.8275521606445313}","{'x': -0.5419847328244275, 'y': -0.5343511450381679, 'z': 1.3282442748091603}",51.699103043188096,2025-04-17 21:03:21.051442
"{'x': 1.9967641845703124, 'y': -9.708487731933593, 'z': -2.817975354003906}","{'x': -3.8396946564885495, 'y': 0.15267175572519084, 'z': -0.5954198473282443}",54.080949472349296,2025-04-17 21:03:31.058747
"{'x': 1.8076222534179687, 'y': -9.658209497070311, 'z': -2.9281086303710935}","{'x': -0.9007633587786259, 'y': -0.4198473282442748, 'z': 0.3435114503816794}",54.9539071370877,2025-04-17 21:03:41.067094
"{'x': 1.8291700683593748, 'y': -9.643844287109374, 'z': -2.9041666137695312}","{'x': -1.015267175572519, 'y': -0.15267175572519084, 'z': -1.0305343511450382}",55.826214432608474,2025-04-17 21:03:51.074577
"{'x': 1.7741034301757812, 'y': -9.670180505371093, 'z': -2.940079638671875}","{'x': -1.1450381679389312, 'y': -0.16793893129770993, 'z': -0.9618320610687023}",56.753842419705286,2025-04-17 21:04:01.083172
"{'x': 1.8507178833007811, 'y': -9.686939916992188, 'z': -3.0142998901367184}","{'x': -1.1374045801526718, 'y': -0.29770992366412213, 'z': -0.9007633587786259}",57.674938323345366,2025-04-17 21:04:11.089602
"{'x': 1.7334020019531249, 'y': -9.655815295410155, 'z': -2.9496564453125}","{'x': -1.183206106870229, 'y': -0.24427480916030533, 'z': -1.1374045801526718}",58.601529405794246,2025-04-17 21:04:21.096520
"{'x': 1.6472107421875, 'y': -9.641450085449218, 'z': -2.940079638671875}","{'x': -1.1221374045801527, 'y': -0.24427480916030533, 'z': -0.9770992366412213}",59.48019199323086,2025-04-17 21:04:31.102849
"{'x': 1.707065783691406, 'y': -9.677363110351562, 'z': -2.877830395507812}","{'x': -1.2213740458015268, 'y': -0.17557251908396945, 'z': -1.099236641221374}",60.39065047321083,2025-04-17 21:04:41.117738
"{'x': 1.5849614990234373, 'y': -9.727641345214844, 'z': -3.028665100097656}","{'x': -1.2290076335877862, 'y': -0.15267175572519084, 'z': -1.1908396946564885}",61.27539893647069,2025-04-17 21:04:51.124424
"{'x': 1.5873557006835937, 'y': -9.698910925292969, 'z': -3.0526071166992184}","{'x': -1.1374045801526718, 'y': -0.16030534351145037, 'z': -1.1450381679389312}",62.09278718949332,2025-04-17 21:05:01.130753
"{'x': 1.5969325073242187, 'y': -9.725247143554688, 'z': -2.9735984619140625}","{'x': -1.0916030534351144, 'y': -0.3511450381679389, 'z': -0.8549618320610687}",62.9070464565784,2025-04-17 21:05:11.137827
"{'x': 1.5514426757812498, 'y': -9.672574707031249, 'z': -3.0550013183593747}","{'x': -1.2366412213740459, 'y': -0.25190839694656486, 'z': -1.0610687022900764}",63.761023222714755,2025-04-17 21:05:21.153166
"{'x': 1.426944189453125, 'y': -9.713276135253906, 'z': -3.2824504760742186}","{'x': 0.44274809160305345, 'y': -10.465648854961833, 'z': -0.5038167938931297}",65.42287661177804,2025-04-17 21:05:31.163940
"{'x': 1.3527239379882812, 'y': -9.660603698730467, 'z': -3.268085266113281}","{'x': -1.2290076335877862, 'y': -0.4122137404580153, 'z': -0.6412213740458015}",66.20703602653957,2025-04-17 21:05:41.170784
"{'x': -0.51714755859375, 'y': -9.701305126953125, 'z': -3.0310593017578125}","{'x': -1.16793893129771, 'y': -0.15267175572519084, 'z': -1.2290076335877862}",66.87447126477898,2025-04-17 21:05:51.177253
