accelerometer,gyroscope,overall_angle,time
"{'x': 5.482721801757812, 'y': 0.2537853759765625, 'z': 7.125144140624999}","{'x': -0.9847328244274809, 'y': -0.24427480916030533, 'z': -1.213740458015267}",46.00739982498055,2025-04-17 13:24:34.807746
"{'x': 5.499481213378906, 'y': 0.16998831787109375, 'z': 7.122749938964843}","{'x': -0.9465648854961832, 'y': -0.549618320610687, 'z': -1.083969465648855}",46.24596020020536,2025-04-17 13:24:44.814158
"{'x': 5.537788439941406, 'y': 0.23702596435546874, 'z': 7.153874560546875}","{'x': -1.0, 'y': -0.2366412213740458, 'z': -0.8854961832061069}",46.35165951125316,2025-04-17 13:24:54.820481
"{'x': 5.389347937011719, 'y': 0.229843359375, 'z': 7.149086157226562}","{'x': -1.2366412213740459, 'y': -0.0916030534351145, 'z': -0.8549618320610687}",46.45547745848453,2025-04-17 13:25:04.826842
"{'x': 5.4899044067382805, 'y': 0.28969840087890625, 'z': 7.175422375488281}","{'x': -0.8549618320610687, 'y': -0.40458015267175573, 'z': -1.183206106870229}",46.57680605607177,2025-04-17 13:25:14.840469
"{'x': 5.561730456542969, 'y': 0.21787235107421873, 'z': 7.194575988769531}","{'x': -1.0076335877862594, 'y': -0.31297709923664124, 'z': -1.0763358778625953}",46.71460349225693,2025-04-17 13:25:24.847419
"{'x': 5.377376928710937, 'y': 0.22026655273437498, 'z': 7.228094812011718}","{'x': -1.4580152671755726, 'y': -0.5954198473282443, 'z': -0.6870229007633588}",47.10813026529067,2025-04-17 13:25:34.854937
"{'x': 5.623979699707031, 'y': 0.30406361083984373, 'z': 7.280767248535156}","{'x': -1.015267175572519, 'y': -0.32061068702290074, 'z': -1.1068702290076335}",47.23488029844557,2025-04-17 13:25:44.865014
"{'x': 5.549759448242187, 'y': 0.2154781494140625, 'z': 7.170633972167968}","{'x': -1.0, 'y': -0.1297709923664122, 'z': -0.9847328244274809}",47.274135479807654,2025-04-17 13:25:54.872687
"{'x': 5.4707507934570305, 'y': 0.22026655273437498, 'z': 7.225700610351562}","{'x': -0.8625954198473282, 'y': -0.15267175572519084, 'z': -1.1450381679389312}",47.26834042791185,2025-04-17 13:26:04.880575
"{'x': 5.468356591796875, 'y': 0.29448680419921874, 'z': 7.297526660156249}","{'x': -1.0687022900763359, 'y': -0.20610687022900764, 'z': -0.9694656488549618}",47.34393359826303,2025-04-17 13:26:14.889631
"{'x': 5.542576843261719, 'y': 0.21787235107421873, 'z': 7.079654309082031}","{'x': -0.9694656488549618, 'y': -0.22900763358778625, 'z': -0.9618320610687023}",47.42180553245213,2025-04-17 13:26:24.896172
"{'x': 5.408501550292969, 'y': 0.2154781494140625, 'z': 7.1586629638671875}","{'x': -1.0687022900763359, 'y': -0.32061068702290074, 'z': -1.1297709923664123}",47.55637047661493,2025-04-17 13:26:34.906202
"{'x': 5.6191912963867185, 'y': 0.2609679809570312, 'z': 7.196970190429687}","{'x': -1.1374045801526718, 'y': -0.25190839694656486, 'z': -1.083969465648855}",47.69061275408252,2025-04-17 13:26:44.912687
"{'x': 5.614402893066406, 'y': 0.23223756103515625, 'z': 7.163451367187499}","{'x': -0.6412213740458015, 'y': -0.07633587786259542, 'z': -0.9007633587786259}",47.585943288509604,2025-04-17 13:26:54.928188
"{'x': 5.667075329589843, 'y': 0.16280571289062498, 'z': 7.137115148925781}","{'x': -1.0610687022900764, 'y': -0.3053435114503817, 'z': -1.0534351145038168}",47.734831436504386,2025-04-17 13:27:04.943853
"{'x': 5.530605834960937, 'y': 0.2154781494140625, 'z': 7.3286512817382805}","{'x': -1.0305343511450382, 'y': -0.2748091603053435, 'z': -1.0305343511450382}",47.83003057306898,2025-04-17 13:27:14.950548
"{'x': 5.513846423339843, 'y': 0.2059013427734375, 'z': 7.122749938964843}","{'x': -1.1374045801526718, 'y': -0.3511450381679389, 'z': -1.0076335877862594}",48.004711504358944,2025-04-17 13:27:24.956875
"{'x': 5.49708701171875, 'y': 0.239420166015625, 'z': 7.280767248535156}","{'x': -1.1984732824427482, 'y': -0.45038167938931295, 'z': -0.9389312977099237}",48.227632841093545,2025-04-17 13:27:34.963302
"{'x': 5.365405920410156, 'y': 0.17238251953125, 'z': 7.314286071777343}","{'x': -1.0534351145038168, 'y': -0.2595419847328244, 'z': -1.0687022900763359}",48.30344918984813,2025-04-17 13:27:44.978695
"{'x': 5.635950708007812, 'y': 0.2537853759765625, 'z': 7.101202124023437}","{'x': -1.0, 'y': -0.26717557251908397, 'z': -1.0381679389312977}",48.394254376943756,2025-04-17 13:27:54.985429
"{'x': 5.568913061523437, 'y': 0.18435352783203124, 'z': 7.151480358886718}","{'x': -1.0534351145038168, 'y': -0.2366412213740458, 'z': -1.0}",48.482464698809565,2025-04-17 13:28:04.991830
